dc01606f995091a4a41ad216f02a265b	d:Bacteria(1.0000),p:Cyanobacteria/Chloroplast(1.0000),c:Cyanobacteria(1.0000),f:Family_XIII(0.5000),g:Planktothricoides(0.2000)	+	d:Bacteria,p:Cyanobacteria/Chloroplast,c:Cyanobacteria
ad5db97e5236e5b1b1e5728586c8e087	d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Rhizobiales(1.0000),f:Bradyrhizobiaceae(0.4700),g:Bradyrhizobium(0.0987)	+	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales
fb75fa1fac5ad54c9d64c653e50a7126	d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Rhizobiales(1.0000),f:Bradyrhizobiaceae(1.0000),g:Bradyrhizobium(0.9700)	+	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Bradyrhizobiaceae,g:Bradyrhizobium
9db2817f5c42be6a7bcbca662959982d	d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Rhizobiales(1.0000),f:Bradyrhizobiaceae(1.0000),g:Bradyrhizobium(0.9300)	+	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Bradyrhizobiaceae,g:Bradyrhizobium
15dac1e6a414861c0db80d636ffb8a9a	d:Bacteria(1.0000),p:Acidobacteria(1.0000),c:Acidobacteria_Gp16(1.0000),g:Gp16(1.0000)	+	d:Bacteria,p:Acidobacteria,c:Acidobacteria_Gp16,g:Gp16
58738b7c9e86d0e83a8c3f33c6778e93	d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Sphingomonadales(1.0000),f:Sphingomonadaceae(1.0000),g:Sphingomonas(0.9800)	+	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas
714b0378efe0b8744e24aa04b48008d3	d:Bacteria(1.0000),p:Firmicutes(1.0000),c:Bacilli(1.0000),o:Bacillales(1.0000),f:Bacillaceae_1(1.0000),g:Bacillus(1.0000)	+	d:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Bacillaceae_1,g:Bacillus
8d2a29d23de2d1b6cada06bf85915274	d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Sphingomonadales(1.0000),f:Sphingomonadaceae(1.0000),g:Sphingomonas(1.0000)	+	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas
72d78ad803e3cfc73fca6825e5fcddc1	d:Bacteria(1.0000),p:Nitrospirae(1.0000),c:Nitrospira(1.0000),o:Nitrospirales(1.0000),f:Nitrospiraceae(1.0000),g:Nitrospira(1.0000)	+	d:Bacteria,p:Nitrospirae,c:Nitrospira,o:Nitrospirales,f:Nitrospiraceae,g:Nitrospira
8cb24777cb48dde0aac60dfeca125d10	d:Bacteria(1.0000),p:Firmicutes(1.0000),c:Bacilli(1.0000),o:Bacillales(1.0000),f:Bacillaceae_1(1.0000),g:Bacillus(1.0000)	+	d:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Bacillaceae_1,g:Bacillus
